dataset,model,split,max_features,num_features,accuracy,sensitivity,specificity,precision,f1-score,CM(TP:TN:FP:FN),model_file
features_all_1H_mean_standarized_zscore_outliers_yes,rlo,,20-features,6,0.9636,0.9130,1.0000,0.9658,0.9634,21:32:0:2,model__rlo__features_all_1H_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,rlo,,20-features,11,0.9818,1.0000,0.9688,0.9826,0.9819,23:31:1:0,model__rlo__features_all_1H_median_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,rlo,,20-features,8,0.8000,0.7826,0.8125,0.8016,0.8005,18:26:6:5,model__rlo__features_all_1H_median_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,rlo,,20-features,9,0.8364,0.8261,0.8438,0.8378,0.8368,19:27:5:4,model__rlo__features_all_1H_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,rlo,,20-features,10,0.8545,0.8696,0.8438,0.8582,0.8552,20:27:5:3,model__rlo__features_all_1H_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,rlo,,20-features,8,0.9091,0.8696,0.9375,0.9091,0.9088,20:30:2:3,model__rlo__features_all_1H_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,rlo,,20-features,6,0.9636,0.9130,1.0000,0.9658,0.9634,21:32:0:2,model__rlo__features_all_1H_sum_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,svm,,5-features,5,0.7091,0.8261,0.6250,0.7412,0.7099,19:20:12:4,model__svm__features_all_1D_mean_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,svm,,5-features,4,0.6727,0.7826,0.5938,0.7034,0.6736,18:19:13:5,model__svm__features_all_1D_mean_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,svm,,5-features,4,0.6727,0.8261,0.5625,0.7168,0.6716,19:18:14:4,model__svm__features_all_1D_mean_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,svm,,5-features,4,0.6727,0.8261,0.5625,0.7168,0.6716,19:18:14:4,model__svm__features_all_1D_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,svm,,5-features,5,0.7091,0.8261,0.6250,0.7412,0.7099,19:20:12:4,model__svm__features_all_1D_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,svm,,5-features,4,0.6727,0.7826,0.5938,0.7034,0.6736,18:19:13:5,model__svm__features_all_1D_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,svm,,5-features,3,0.6182,0.6087,0.6250,0.6264,0.6205,14:20:12:9,model__svm__features_all_1D_sum_standarized_zscore_outliers_no__5-features__loo.skops
